emotion,date,category,count
joy,2019-01-31,Others,7639
joy,2019-01-31,Medical Conference,107
joy,2019-01-31,Medicine,86
joy,2019-01-31,TV,18
joy,2019-01-31,Politics,2
joy,2019-01-31,Sports,2
joy,2019-01-31,Social,1
joy,2019-04-30,Others,24494
joy,2019-04-30,Medicine,231
joy,2019-04-30,Medical Conference,212
joy,2019-04-30,TV,54
joy,2019-04-30,Politics,25
joy,2019-04-30,Sports,8
joy,2019-04-30,Promotions,6
joy,2019-04-30,Social,3
joy,2019-07-31,Others,25481
joy,2019-07-31,Medicine,267
joy,2019-07-31,Medical Conference,129
joy,2019-07-31,TV,27
joy,2019-07-31,Politics,10
joy,2019-07-31,Memorial,7
joy,2019-07-31,Sports,6
joy,2019-07-31,Social,4
joy,2019-07-31,Promotions,1
joy,2019-07-31,War,1
joy,2019-10-31,Others,26545
joy,2019-10-31,Medicine,267
joy,2019-10-31,Sports,17
joy,2019-10-31,Politics,11
joy,2019-10-31,Medical Conference,5
joy,2019-10-31,TV,5
joy,2019-10-31,Social,4
joy,2019-10-31,War,3
joy,2019-10-31,Memorial,2
joy,2019-10-31,Disasters,1
joy,2019-10-31,Social Media,1
joy,2020-01-31,Others,24979
joy,2020-01-31,Medicine,216
joy,2020-01-31,Sports,133
joy,2020-01-31,Medical Conference,98
joy,2020-01-31,Promotions,13
joy,2020-01-31,Social,6
joy,2020-01-31,TV,4
joy,2020-01-31,Social Media,3
joy,2020-01-31,Politics,2
joy,2020-01-31,COVID-19,1
joy,2020-01-31,Leisure,1
joy,2020-01-31,War,1
joy,2020-04-30,Others,27804
joy,2020-04-30,COVID-19,498
joy,2020-04-30,Medicine,217
joy,2020-04-30,Sports,16
joy,2020-04-30,TV,12
joy,2020-04-30,Social Media,9
joy,2020-04-30,Politics,7
joy,2020-04-30,Promotions,5
joy,2020-04-30,Leisure,1
joy,2020-04-30,Medical Conference,1
joy,2020-07-31,Others,25801
joy,2020-07-31,COVID-19,240
joy,2020-07-31,Medicine,212
joy,2020-07-31,Politics,36
joy,2020-07-31,Social Media,7
joy,2020-07-31,Memorial,6
joy,2020-07-31,Music,5
joy,2020-07-31,Sports,2
joy,2020-07-31,Medical Conference,1
joy,2020-07-31,TV,1
joy,2020-10-31,Others,26586
joy,2020-10-31,Medicine,249
joy,2020-10-31,COVID-19,125
joy,2020-10-31,Music,60
joy,2020-10-31,Politics,54
joy,2020-10-31,Sports,13
joy,2020-10-31,Promotions,12
joy,2020-10-31,Medical Conference,1
joy,2020-10-31,Memorial,1
joy,2020-10-31,Social,1
joy,2021-01-31,Others,27130
joy,2021-01-31,Medicine,178
joy,2021-01-31,Music,151
joy,2021-01-31,COVID-19,128
joy,2021-01-31,Politics,37
joy,2021-01-31,Social,37
joy,2021-01-31,Social Media,9
joy,2021-01-31,Promotions,4
joy,2021-01-31,War,4
joy,2021-01-31,Medical Conference,3
joy,2021-01-31,Sports,3
joy,2021-04-30,Others,24458
joy,2021-04-30,Medicine,207
joy,2021-04-30,COVID-19,95
joy,2021-04-30,Music,84
joy,2021-04-30,Medical Conference,8
joy,2021-04-30,Social Media,4
joy,2021-04-30,Sports,4
joy,2021-04-30,Politics,3
joy,2021-04-30,Promotions,2
joy,2021-04-30,Social,2
joy,2021-07-31,Others,20397
joy,2021-07-31,Medicine,158
joy,2021-07-31,Medical Conference,77
joy,2021-07-31,Music,75
joy,2021-07-31,COVID-19,29
joy,2021-07-31,Memorial,4
joy,2021-07-31,Sports,4
joy,2021-07-31,Social Media,3
joy,2021-07-31,Politics,2
joy,2021-07-31,TV,1
joy,2021-10-31,Others,20168
joy,2021-10-31,Medicine,141
joy,2021-10-31,Medical Conference,85
joy,2021-10-31,Music,54
joy,2021-10-31,COVID-19,45
joy,2021-10-31,Sports,27
joy,2021-10-31,Social Media,3
joy,2021-10-31,Memorial,2
joy,2021-10-31,Politics,2
joy,2021-10-31,Promotions,1
joy,2022-01-31,Others,20042
joy,2022-01-31,Medical Conference,208
joy,2022-01-31,Medicine,115
joy,2022-01-31,Sports,76
joy,2022-01-31,Social,63
joy,2022-01-31,COVID-19,50
joy,2022-01-31,Music,42
joy,2022-01-31,Social Media,3
joy,2022-01-31,Memorial,1
joy,2022-01-31,Politics,1
joy,2022-04-30,Others,18664
joy,2022-04-30,Medicine,100
joy,2022-04-30,Medical Conference,90
joy,2022-04-30,War,41
joy,2022-04-30,Music,33
joy,2022-04-30,COVID-19,12
joy,2022-04-30,Sports,12
joy,2022-04-30,Social Media,2
joy,2022-04-30,Memorial,1
joy,2022-04-30,Politics,1
joy,2022-07-31,Others,7173
joy,2022-07-31,Medical Conference,98
