emotion,date,category,count
joy,2019-01-31,Others,14504
joy,2019-01-31,Social,123
joy,2019-01-31,Art,61
joy,2019-01-31,Music,18
joy,2019-01-31,Sports,15
joy,2019-01-31,Promotions,10
joy,2019-01-31,Politics,6
joy,2019-01-31,TV,3
joy,2019-01-31,Technology,3
joy,2019-01-31,Fashion,2
joy,2019-01-31,Education,1
joy,2019-01-31,Social Media,1
joy,2019-01-31,War,1
joy,2019-04-30,Others,38163
joy,2019-04-30,Social,271
joy,2019-04-30,Art,176
joy,2019-04-30,Sports,47
joy,2019-04-30,Music,43
joy,2019-04-30,Politics,37
joy,2019-04-30,Education,24
joy,2019-04-30,TV,8
joy,2019-04-30,Social Media,6
joy,2019-04-30,Disasters,3
joy,2019-04-30,Promotions,3
joy,2019-04-30,Technology,2
joy,2019-07-31,Others,38826
joy,2019-07-31,Art,175
joy,2019-07-31,Sports,142
joy,2019-07-31,Social,124
joy,2019-07-31,Music,83
joy,2019-07-31,TV,33
joy,2019-07-31,Politics,23
joy,2019-07-31,Technology,17
joy,2019-07-31,Memorial,15
joy,2019-07-31,Promotions,3
joy,2019-07-31,Social Media,3
joy,2019-07-31,News,1
joy,2019-10-31,Others,40002
joy,2019-10-31,Social,272
joy,2019-10-31,Art,148
joy,2019-10-31,TV,81
joy,2019-10-31,Sports,57
joy,2019-10-31,Promotions,42
joy,2019-10-31,Politics,36
joy,2019-10-31,Music,25
joy,2019-10-31,Disasters,8
joy,2019-10-31,Technology,7
joy,2019-10-31,Memorial,4
joy,2019-10-31,Social Media,3
joy,2019-10-31,Fashion,1
joy,2019-10-31,News,1
joy,2020-01-31,Others,39489
joy,2020-01-31,Social,232
joy,2020-01-31,Art,187
joy,2020-01-31,TV,106
joy,2020-01-31,Social Media,42
joy,2020-01-31,Politics,31
joy,2020-01-31,Sports,31
joy,2020-01-31,Music,28
joy,2020-01-31,Technology,14
joy,2020-01-31,Fashion,4
joy,2020-01-31,Promotions,2
joy,2020-01-31,COVID-19,1
joy,2020-01-31,Memorial,1
joy,2020-04-30,Others,44817
joy,2020-04-30,Social Media,173
joy,2020-04-30,Social,131
joy,2020-04-30,TV,112
joy,2020-04-30,Art,93
joy,2020-04-30,COVID-19,90
joy,2020-04-30,Music,69
joy,2020-04-30,Leisure,64
joy,2020-04-30,Politics,47
joy,2020-04-30,Sports,39
joy,2020-04-30,Education,19
joy,2020-04-30,Technology,13
joy,2020-04-30,Memorial,2
joy,2020-04-30,Promotions,1
joy,2020-07-31,Others,40933
joy,2020-07-31,Sports,172
joy,2020-07-31,TV,144
joy,2020-07-31,Social,135
joy,2020-07-31,Social Media,134
joy,2020-07-31,Leisure,117
joy,2020-07-31,Art,89
joy,2020-07-31,Politics,56
joy,2020-07-31,Music,43
joy,2020-07-31,Memorial,22
joy,2020-07-31,COVID-19,20
joy,2020-07-31,Technology,14
joy,2020-07-31,Promotions,6
joy,2020-10-31,Others,42770
joy,2020-10-31,TV,234
joy,2020-10-31,Social Media,221
joy,2020-10-31,Social,100
joy,2020-10-31,Sports,86
joy,2020-10-31,Politics,69
joy,2020-10-31,Art,37
joy,2020-10-31,Music,28
joy,2020-10-31,COVID-19,14
joy,2020-10-31,Technology,12
joy,2020-10-31,Memorial,5
joy,2020-10-31,Leisure,2
joy,2021-01-31,Others,44744
joy,2021-01-31,Social Media,141
joy,2021-01-31,TV,135
joy,2021-01-31,Social,124
joy,2021-01-31,Sports,101
joy,2021-01-31,Music,70
joy,2021-01-31,Art,31
joy,2021-01-31,COVID-19,17
joy,2021-01-31,Technology,16
joy,2021-01-31,Politics,11
joy,2021-01-31,Memorial,4
joy,2021-01-31,Promotions,2
joy,2021-04-30,Others,37769
joy,2021-04-30,TV,120
joy,2021-04-30,Social Media,114
joy,2021-04-30,Social,80
joy,2021-04-30,Sports,53
joy,2021-04-30,Education,42
joy,2021-04-30,Music,40
joy,2021-04-30,Art,24
joy,2021-04-30,Technology,24
joy,2021-04-30,Politics,20
joy,2021-04-30,COVID-19,12
joy,2021-04-30,Law,2
joy,2021-04-30,Memorial,2
joy,2021-04-30,Fashion,1
joy,2021-07-31,Others,32284
joy,2021-07-31,Social Media,107
joy,2021-07-31,TV,82
joy,2021-07-31,Social,80
joy,2021-07-31,Sports,69
joy,2021-07-31,Technology,32
joy,2021-07-31,Politics,17
joy,2021-07-31,Memorial,16
joy,2021-07-31,Music,13
joy,2021-07-31,Promotions,13
joy,2021-07-31,COVID-19,6
joy,2021-07-31,Art,1
joy,2021-10-31,Others,33869
joy,2021-10-31,TV,204
joy,2021-10-31,Promotions,97
joy,2021-10-31,Social,83
joy,2021-10-31,Sports,55
joy,2021-10-31,Technology,22
joy,2021-10-31,Music,18
joy,2021-10-31,Politics,16
joy,2021-10-31,Memorial,10
joy,2021-10-31,Social Media,3
joy,2021-10-31,Art,2
joy,2021-10-31,COVID-19,2
joy,2021-10-31,Disasters,2
joy,2022-01-31,Others,37596
joy,2022-01-31,TV,208
joy,2022-01-31,Promotions,115
joy,2022-01-31,Social,100
joy,2022-01-31,Music,47
joy,2022-01-31,Sports,40
joy,2022-01-31,Technology,26
joy,2022-01-31,Politics,14
joy,2022-01-31,COVID-19,5
joy,2022-01-31,Social Media,3
joy,2022-01-31,Art,2
joy,2022-01-31,Disasters,1
joy,2022-01-31,News,1
joy,2022-01-31,War,1
joy,2022-04-30,Others,33044
joy,2022-04-30,TV,181
joy,2022-04-30,Promotions,120
joy,2022-04-30,Social,86
joy,2022-04-30,Sports,55
joy,2022-04-30,Social Media,46
joy,2022-04-30,War,45
joy,2022-04-30,Music,34
joy,2022-04-30,Education,25
joy,2022-04-30,Politics,22
joy,2022-04-30,Technology,16
joy,2022-04-30,Leisure,5
joy,2022-04-30,COVID-19,4
joy,2022-04-30,Art,1
joy,2022-04-30,Memorial,1
joy,2022-07-31,Others,10697
joy,2022-07-31,TV,91
joy,2022-07-31,Promotions,41
joy,2022-07-31,Sports,35
joy,2022-07-31,Social,32
joy,2022-07-31,Leisure,26
joy,2022-07-31,Music,12
joy,2022-07-31,Memorial,6
joy,2022-07-31,Politics,5
joy,2022-07-31,Social Media,5
joy,2022-07-31,War,5
joy,2022-07-31,Disasters,2
joy,2022-07-31,COVID-19,1
joy,2022-07-31,Technology,1
sadness,2019-01-31,Others,12722
sadness,2019-01-31,Sports,97
sadness,2019-01-31,Social,78
sadness,2019-01-31,Politics,58
sadness,2019-01-31,News,24
sadness,2019-01-31,Music,5
sadness,2019-01-31,TV,3
sadness,2019-01-31,Memorial,2
sadness,2019-01-31,Law,1
sadness,2019-04-30,Others,27682
sadness,2019-04-30,Sports,140
sadness,2019-04-30,Politics,45
sadness,2019-04-30,Social,44
sadness,2019-04-30,News,35
sadness,2019-04-30,Disasters,24
sadness,2019-04-30,Education,20
sadness,2019-04-30,Music,19
sadness,2019-04-30,Memorial,5
sadness,2019-04-30,Technology,2
sadness,2019-04-30,TV,1
sadness,2019-07-31,Others,31494
sadness,2019-07-31,Sports,233
sadness,2019-07-31,Memorial,53
sadness,2019-07-31,News,48
sadness,2019-07-31,Politics,27
sadness,2019-07-31,TV,17
sadness,2019-07-31,Social,12
sadness,2019-07-31,Technology,9
sadness,2019-07-31,Music,8
sadness,2019-07-31,Art,2
sadness,2019-07-31,Education,1
sadness,2019-10-31,Others,33279
sadness,2019-10-31,Sports,88
sadness,2019-10-31,News,48
sadness,2019-10-31,Disasters,44
sadness,2019-10-31,Memorial,44
sadness,2019-10-31,Social,44
sadness,2019-10-31,Politics,37
sadness,2019-10-31,TV,17
sadness,2019-10-31,Social Media,11
sadness,2019-10-31,Technology,6
sadness,2019-10-31,Music,5
sadness,2020-01-31,Others,33154
sadness,2020-01-31,Sports,129
sadness,2020-01-31,News,44
sadness,2020-01-31,Politics,42
sadness,2020-01-31,Social,37
sadness,2020-01-31,Social Media,22
sadness,2020-01-31,Memorial,14
sadness,2020-01-31,Music,14
sadness,2020-01-31,TV,10
sadness,2020-01-31,COVID-19,8
sadness,2020-01-31,Technology,6
sadness,2020-01-31,War,4
sadness,2020-04-30,Others,48349
sadness,2020-04-30,COVID-19,1014
sadness,2020-04-30,Memorial,706
